sketch_id,sketch_name,slug,season,episode,sentence_index,sentence_text
1,Both Ways,both-ways,1,1,1,"Obviously, I'd love to work for you, and I appreciate you taking the time to meet with me."
1,Both Ways,both-ways,1,1,2,I...
1,Both Ways,both-ways,1,1,3,I feel good about it.
1,Both Ways,both-ways,1,1,4,I hope I didn't do too much talking.
1,Both Ways,both-ways,1,1,5,"No, you were great."
1,Both Ways,both-ways,1,1,6,You were great.
1,Both Ways,both-ways,1,1,7,I hope to hear from you soon.
1,Both Ways,both-ways,1,1,8,We'll be in touch.
1,Both Ways,both-ways,1,1,9,Really nice meeting you.
1,Both Ways,both-ways,1,1,10,Nice to meet you as well.
1,Both Ways,both-ways,1,1,11,Okay.
1,Both Ways,both-ways,1,1,12,"Oh!
Looks like you push."
1,Both Ways,both-ways,1,1,13,"Oh, it does both."
1,Both Ways,both-ways,1,1,14,"What?
It does both."
1,Both Ways,both-ways,1,1,15,"I was here yesterday, and it actually goes both ways."
1,Both Ways,both-ways,1,1,16,"Oh, okay."
1,Both Ways,both-ways,1,1,17,"Okay, see you."
1,Both Ways,both-ways,1,1,18,See?
1,Both Ways,both-ways,1,1,19,Hope to hear from you soon.
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,1,Have you been the victim of unfair treatment by a business or a corporation?
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,2,Has this ever happened to you?
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,3,"You bought a house, it was not disclosed to you that there was a termite infestation in the walls and in the moldings, so you have to take it upon yourself to call your n"
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,4,"termite extermination company, but when the guys show up, they immediately ask if they can use your bathroom, then for over two hours, they take turns going in and out of there, taking huge mud pies and over-flushing?"
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,5,"Then they go in there together, and you hear a bunch of scrounging around, and then you hear a bunch of yelling, and one of them is standing in the bathroom doorway shouting at you that his friend's foot's stuck in the toilet, and he says, ""Help him!"
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,6,"You got to help him!"""
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,7,"And when you go in there to help him, he just pulls it out easily and laughs 'cause his foot wasn't stuck."
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,8,"It wasn't stuck at all, he was just faking it."
2,Has This Ever Happened To You,has-this-ever-happened-to-you,1,1,9,"And then they get really serious and say, ""It's Turbo time!"""
